iter	Passed	Remaining
0	112	112260
1	113	56592
2	114	38072
3	115	28795
4	116	23228
5	117	19499
6	118	16836
7	119	14834
8	120	13277
9	121	12030
10	122	11011
11	123	10160
12	124	9441
13	125	8825
14	126	8290
15	127	7824
16	128	7416
17	129	7054
18	130	6730
19	131	6437
20	132	6188
21	133	5951
22	135	5740
23	136	5540
24	137	5356
25	138	5187
26	139	5029
27	140	4882
28	141	4744
29	142	4616
30	143	4498
31	144	4386
32	146	4281
33	147	4181
34	148	4091
35	149	4002
36	150	3922
37	151	3844
38	153	3772
39	154	3700
40	155	3633
41	156	3568
42	157	3507
43	158	3447
44	159	3393
45	161	3339
46	162	3287
47	163	3237
48	164	3190
49	165	3143
50	166	3105
51	168	3068
52	169	3033
53	171	2996
54	172	2957
55	173	2921
56	174	2885
57	175	2850
58	176	2817
59	177	2784
60	178	2752
61	180	2724
62	181	2695
63	182	2667
64	183	2639
65	184	2612
66	185	2587
67	186	2556
68	187	2532
69	188	2510
70	190	2489
71	191	2467
72	192	2444
73	193	2423
74	194	2402
75	195	2382
76	197	2363
77	198	2343
78	199	2324
79	200	2306
80	201	2288
81	202	2270
82	204	2258
83	206	2249
84	207	2231
85	208	2215
86	209	2196
87	210	2181
88	211	2165
89	212	2150
90	213	2135
91	214	2121
92	216	2106
93	217	2093
94	218	2080
95	219	2067
96	220	2054
97	222	2043
98	223	2032
99	224	2022
100	226	2017
101	227	2001
102	228	1990
103	229	1980
104	231	1969
105	232	1958
106	233	1947
107	234	1936
108	235	1925
109	236	1915
110	237	1905
111	239	1895
112	240	1885
113	241	1876
114	242	1866
115	243	1855
116	244	1846
117	245	1837
118	246	1826
119	247	1817
120	248	1808
121	250	1799
122	250	1787
123	251	1779
124	253	1771
125	254	1762
126	255	1754
127	256	1744
128	257	1737
129	258	1730
130	260	1725
131	261	1717
132	262	1710
133	263	1702
134	264	1695
135	265	1688
136	266	1681
137	267	1672
138	268	1665
139	270	1659
140	271	1653
141	272	1646
142	273	1639
143	275	1634
144	276	1629
145	277	1622
146	278	1617
147	279	1611
148	281	1605
149	282	1599
150	283	1593
151	284	1587
152	285	1581
153	286	1575
154	288	1570
155	289	1564
156	290	1558
157	291	1552
158	292	1547
159	293	1542
160	295	1537
161	296	1532
162	297	1527
163	298	1522
164	299	1516
165	300	1511
166	302	1506
167	303	1501
168	304	1496
169	305	1490
170	306	1485
171	307	1480
172	308	1476
173	309	1471
174	311	1466
175	312	1462
176	313	1459
177	315	1454
178	316	1450
179	317	1445
180	318	1438
181	319	1434
182	320	1430
183	321	1426
184	322	1421
185	323	1417
186	325	1413
187	326	1408
188	327	1404
189	329	1405
190	331	1404
191	332	1401
192	334	1397
193	335	1392
194	336	1388
195	337	1384
196	338	1380
197	339	1376
198	340	1371
199	341	1367
200	343	1363
201	344	1359
202	345	1355
203	346	1352
204	347	1348
205	349	1346
206	350	1342
207	351	1338
208	352	1335
209	353	1331
210	355	1327
211	356	1323
212	357	1320
213	358	1316
214	359	1312
215	360	1308
216	361	1305
217	362	1301
218	364	1298
219	365	1295
220	366	1291
221	367	1288
222	368	1284
223	369	1281
224	371	1277
225	372	1274
226	373	1270
227	374	1267
228	375	1263
229	376	1260
230	377	1256
231	378	1253
232	379	1250
233	380	1247
234	382	1244
235	383	1241
236	384	1238
237	385	1235
238	387	1232
239	388	1229
240	389	1226
241	390	1222
242	391	1219
243	392	1216
244	393	1213
245	394	1210
246	396	1207
247	397	1204
248	398	1201
249	399	1197
250	400	1195
251	401	1192
252	403	1190
253	404	1187
254	405	1184
255	406	1181
256	407	1178
257	408	1175
258	409	1172
259	410	1169
260	411	1166
261	413	1163
262	414	1160
263	415	1157
264	416	1154
265	417	1152
266	418	1150
267	420	1147
268	421	1144
269	422	1142
270	423	1139
271	424	1136
272	425	1133
273	426	1131
274	427	1128
275	429	1125
276	430	1123
277	431	1120
278	432	1118
279	433	1115
280	434	1112
281	436	1110
282	437	1108
283	438	1106
284	439	1103
285	440	1100
286	441	1098
287	443	1095
288	444	1093
289	445	1090
290	446	1088
291	447	1085
292	448	1083
293	450	1080
294	451	1078
295	452	1075
296	453	1073
297	454	1071
298	456	1069
299	457	1067
300	458	1065
301	460	1064
302	461	1062
303	462	1060
304	464	1057
305	465	1055
306	466	1053
307	467	1051
308	469	1048
309	470	1046
310	471	1045
311	473	1043
312	474	1042
313	475	1039
314	477	1037
315	478	1035
316	479	1033
317	480	1030
318	481	1028
319	482	1026
320	483	1023
321	485	1021
322	486	1020
323	487	1018
324	489	1016
325	490	1014
326	492	1012
327	493	1010
328	494	1008
329	495	1006
330	496	1004
331	497	1001
332	498	999
333	500	997
334	501	995
335	502	993
336	503	991
337	505	989
338	506	986
339	507	986
340	509	984
341	510	982
342	511	980
343	512	977
344	513	975
345	514	973
346	516	971
347	517	969
348	518	966
349	519	964
350	520	962
351	521	960
352	522	957
353	523	956
354	525	954
355	526	952
356	528	951
357	529	949
358	530	947
359	532	946
360	533	944
361	534	942
362	536	940
363	537	939
364	538	937
365	539	935
366	541	933
367	542	932
368	544	930
369	545	928
370	546	927
371	548	925
372	549	923
373	550	922
374	552	920
375	553	918
376	555	917
377	556	915
378	557	913
379	559	912
380	560	910
381	562	909
382	564	908
383	565	907
384	567	906
385	568	904
386	570	902
387	571	901
388	572	899
389	574	898
390	575	896
391	576	894
392	578	893
393	580	892
394	581	891
395	583	889
396	584	887
397	585	885
398	586	883
399	587	881
400	588	879
401	589	877
402	590	875
403	592	873
404	593	871
405	594	869
406	595	867
407	596	866
408	598	864
409	600	863
410	601	862
411	602	860
412	604	858
413	605	857
414	607	855
415	608	854
416	609	852
417	611	851
418	612	849
419	614	847
420	615	846
421	616	844
422	618	843
423	619	841
424	620	840
425	622	838
426	623	836
427	625	835
428	626	833
429	627	832
430	629	830
431	630	829
432	631	827
433	636	829
434	637	828
435	639	827
436	640	825
437	642	824
438	644	823
439	646	822
440	647	820
441	648	819
442	649	817
443	651	815
444	652	813
445	653	812
446	655	810
447	656	808
448	657	807
449	658	805
450	659	803
451	661	801
452	662	799
453	663	797
454	664	795
455	665	794
456	666	792
457	667	790
458	669	788
459	670	787
460	671	785
461	672	783
462	674	781
463	675	780
464	676	778
465	677	776
466	678	774
467	679	772
468	680	770
469	682	769
470	683	767
471	684	765
472	685	763
473	686	761
474	687	760
475	689	758
476	690	756
477	691	755
478	692	753
479	693	751
480	694	749
481	695	747
482	697	746
483	698	744
484	700	743
485	701	742
486	702	740
487	703	738
488	705	736
489	706	735
490	707	733
491	708	731
492	709	730
493	711	728
494	712	726
495	713	724
496	714	723
497	715	721
498	716	719
499	717	717
500	719	716
501	720	714
502	721	712
503	722	711
504	723	709
505	725	708
506	726	706
507	727	705
508	729	703
509	730	702
510	731	700
511	733	698
512	734	697
513	735	695
514	736	693
515	738	692
516	739	690
517	740	688
518	741	687
519	743	685
520	744	684
521	745	682
522	747	681
523	748	679
524	749	678
525	750	676
526	751	674
527	752	673
528	754	671
529	755	669
530	756	668
531	757	666
532	758	664
533	759	663
534	761	661
535	762	660
536	763	658
537	764	656
538	766	655
539	767	653
540	768	651
541	769	650
542	770	648
543	771	647
544	773	645
545	774	643
546	775	642
547	776	640
548	778	639
549	780	638
550	781	636
551	782	634
552	783	633
553	784	631
554	785	630
555	786	628
556	788	626
557	789	625
558	790	623
559	791	622
560	792	620
561	793	618
562	795	617
563	796	615
564	798	614
565	799	612
566	800	611
567	801	609
568	802	608
569	804	606
570	805	605
571	806	603
572	807	601
573	808	600
574	810	598
575	811	597
576	813	596
577	814	594
578	815	593
579	817	591
580	818	590
581	820	588
582	821	587
583	822	585
584	823	584
585	824	582
586	825	581
587	826	579
588	828	577
589	829	576
590	830	574
591	831	573
592	833	571
593	834	570
594	835	568
595	836	567
596	837	565
597	838	563
598	840	562
599	841	560
600	842	559
601	843	557
602	844	556
603	846	554
604	847	553
605	848	551
606	849	550
607	850	548
608	852	547
609	853	545
610	854	544
611	855	542
612	856	541
613	858	539
614	859	537
615	860	536
616	861	534
617	862	533
618	863	531
619	865	530
620	866	528
621	867	527
622	868	525
623	870	524
624	872	523
625	873	521
626	874	520
627	876	519
628	878	518
629	880	516
630	881	515
631	883	514
632	885	513
633	886	511
634	888	510
635	890	509
636	891	508
637	893	507
638	895	505
639	897	504
640	898	503
641	912	509
642	914	507
643	916	506
644	918	505
645	920	504
646	921	502
647	923	501
648	925	500
649	926	498
650	928	497
651	929	496
652	931	495
653	935	494
654	937	493
655	938	492
656	940	491
657	942	489
658	962	498
659	967	498
660	971	498
661	973	496
662	976	496
663	994	503
664	1000	503
665	1001	502
666	1003	501
667	1005	499
668	1007	498
669	1009	497
670	1011	495
671	1049	512
672	1051	510
673	1053	509
674	1058	509
675	1060	508
676	1062	507
677	1065	506
678	1067	504
679	1069	503
680	1071	501
681	1072	500
682	1074	498
683	1076	497
684	1078	495
685	1080	494
686	1081	492
687	1083	491
688	1085	489
689	1087	488
690	1089	486
691	1091	485
692	1093	484
693	1095	483
694	1097	481
695	1099	480
696	1101	478
697	1102	477
698	1104	475
699	1106	474
700	1108	472
701	1109	471
702	1111	469
703	1112	467
704	1113	465
705	1114	464
706	1115	462
707	1119	461
708	1121	460
709	1123	458
710	1124	457
711	1126	455
712	1127	453
713	1128	452
714	1130	450
715	1131	448
